Lot Number,Part Number,Manufacturer,Auction Category,Title,Condition Description,Weight,MSRP,Qty
BS17840,MM14CCS,HONEYWELL,Seasonal,14000 BTU Portable A/C,C class - No Carton,1034.0,6599.89,11.0
BS17840,HL10CESWB,HONEYWELL,Seasonal,10000 BTU Portable A/C Two-Tone Body Style,C class - No Carton,497.0,3149.93,7.0
BS17840,HL10CESWK,HONEYWELL,Seasonal,10000 BTU Portable A/C Two-Tone Body Style,C class - Missing/Hardware,355.0,2249.95,5.0
BS17840,MN10CESWW,HONEYWELL,Seasonal,10000 BTU Portable A/C,C class - No Carton,260.0,2249.95,5.0
BS17840,LP1414SHR,LG,Seasonal,14000 BTU Portable Air Conditioner/Heater,C Class- Used,255.0,1949.97,3.0
BS17840,HL14CESWG,HONEYWELL,Seasonal,14000 BTU Portable A/C Two-Tone Body Style,C-Class - No Carton,216.0,1799.97,3.0
BS17840,MM14CHCS,HONEYWELL,Seasonal,14000 BTU Portable Heat/Cool,C class - No Carton,188.0,1299.98,2.0
BS17840,LW1215HR,LG,Seasonal,12000 BTU Window Air Conditioner/Heater,C class - No Carton,198.0,1159.98,2.0
BS17840,MN12CESBB,HONEYWELL,Seasonal,12000 BTU Portable A/C,C class - No Carton,162.0,1099.98,2.0
BS17840,MN12CES,HONEYWELL,Seasonal,12000 BTU Portable A/C,c-class used missing accessories,162.0,1099.98,2.0
BS17840,LP1414GXR,LG,Seasonal,14000 BTU Portable Air Conditioner,C class - No Carton,168.0,1099.98,2.0
BS17840,LP126CD3B,LG,Seasonal,12K Air ConditionerDigital Control 3.5KW-Cooling   w/ Electric Heat 265V,C-Class- Rear Damage No Carton                                  IHD,120.0,1094.55,1.0
BS17840,LP123CD3B,LG,Seasonal,12K Air Conditioner Digital Control 3.5KW-Coolin  g with Electric Heat,C Class-                                                        Carton in Poor Condition  Packing in Poor Condition             In House Damage,113.0,996.36,1.0
BS17840,HL10CESWG,HONEYWELL,Seasonal,10000 BTU Portable A/C Two-Tone Body Style,C class - No Carton,142.0,899.98,2.0
BS17840,LW2516ER,LG,Seasonal,24500 BTU Electronic AC with Remote (230V) - 2016  EStar,C-CLASS USED No Carton missing accessories,149.0,699.99,1.0
BS17840,LW2516ER,LG,Seasonal,24500 BTU Electronic AC with Remote (230V) - 2016  EStar,C-class - Damage Front,149.0,699.99,1.0
BS17840,LW2516ER,LG,Seasonal,24500 BTU Electronic AC with Remote (230V) - 2016  EStar,C class - No Carton,149.0,699.99,1.0
BS17840,HL14CHESWW,HONEYWELL,Seasonal,14000 BTU Portable A/C with Heat Two-Tone Body S  tyle,C Class- Missing Accessories Poor Packing                       Not in Original Carton,72.0,649.99,1.0
BS17840,HL14CHESWW,HONEYWELL,Seasonal,14000 BTU Portable A/C with Heat Two-Tone Body S  tyle,C class - No Carton,72.0,649.99,1.0
BS17840,HL14CHESWW,HONEYWELL,Seasonal,14000 BTU Portable A/C with Heat Two-Tone Body S  tyle,C Class- Used No Accessories Poor Packing,72.0,649.99,1.0
BS17840,LP1414SHR,LG,Seasonal,14000 BTU Portable Air Conditioner/Heater,C class - Missing/Remote,85.0,649.99,1.0
BS17840,MM14CHCS,HONEYWELL,Seasonal,14000 BTU Portable Heat/Cool,C-class - Damage Left Side Damage Right Side No   Carton,94.0,649.99,1.0
BS17840,MM14CHCS,HONEYWELL,Seasonal,14000 BTU Portable Heat/Cool,C-class - Damage Left Side Damage Right Side bott om  Not in original carton,94.0,649.99,1.0
BS17840,LP1414SHR,LG,Seasonal,14000 BTU Portable Air Conditioner/Heater,C-class - Used Packing in Poor Condition,85.0,649.99,1.0
BS17840,LP1414SHR,LG,Seasonal,14000 BTU Portable Air Conditioner/Heater,C class - Missing parts,85.0,649.99,1.0
BS17840,MM14CHCS,HONEYWELL,Seasonal,14000 BTU Portable Heat/Cool,B Class- Used Poor Packing,94.0,649.99,1.0
BS17840,MM14CHCS,HONEYWELL,Seasonal,14000 BTU Portable Heat/Cool,C Class- Missing Accessories,94.0,649.99,1.0
BS17840,MM14CHCS,HONEYWELL,Seasonal,14000 BTU Portable Heat/Cool,c-class used,94.0,649.99,1.0
BS17840,MM14CHCS,HONEYWELL,Seasonal,14000 BTU Portable Heat/Cool,C-class - Damage Rear No Carton,94.0,649.99,1.0
BS17840,LP1414SHR,LG,Seasonal,14000 BTU Portable Air Conditioner/Heater,C class - No Carton,85.0,649.99,1.0
BS17840,MM14CHCS,HONEYWELL,Seasonal,14000 BTU Portable Heat/Cool,C-class - Damage Top,94.0,649.99,1.0
BS17840,MM14CHCS,HONEYWELL,Seasonal,14000 BTU Portable Heat/Cool,C-class - Damage Left Side,94.0,649.99,1.0
BS17840,MM14CCS,HONEYWELL,Seasonal,14000 BTU Portable A/C,C-Class - No Carton,94.0,599.99,1.0
BS17840,MM14CCS,HONEYWELL,Seasonal,14000 BTU Portable A/C,C-class - Damage Bottom Missing/Hardware,94.0,599.99,1.0
BS17840,HL14CESWB,HONEYWELL,Seasonal,14000 BTU Portable A/C Two-Tone Body Style,C-class - Damage Front,72.0,599.99,1.0
BS17840,HL14CESWB,HONEYWELL,Seasonal,14000 BTU Portable A/C Two-Tone Body Style,C-class - Damage Bottom No Carton,72.0,599.99,1.0
BS17840,HL14CESWB,HONEYWELL,Seasonal,14000 BTU Portable A/C Two-Tone Body Style,C class - No Carton,72.0,599.99,1.0
BS17840,HL14CESWB,HONEYWELL,Seasonal,14000 BTU Portable A/C Two-Tone Body Style,C class - Packing in Poor Condition Missing/Hard  ware,72.0,599.99,1.0
BS17840,HL14CESWB,HONEYWELL,Seasonal,14000 BTU Portable A/C Two-Tone Body Style,C class - Used Missing/Remote Missing/Hardware,72.0,599.99,1.0
BS17840,HL14CESWK,HONEYWELL,Seasonal,14000 BTU Portable A/C Two-Tone Body Style,C class - Missing/Hardware,72.0,599.99,1.0
BS17840,HL14CESWK,HONEYWELL,Seasonal,14000 BTU Portable A/C Two-Tone Body Style,C class - Packing in Poor Condition,72.0,599.99,1.0
BS17840,HL14CESWG,HONEYWELL,Seasonal,14000 BTU Portable A/C Two-Tone Body Style,C class - Packing in Poor Condition Missing/Hard  ware,72.0,599.99,1.0
BS17840,HL14CESWW,HONEYWELL,Seasonal,14000 BTU Portable A/C Two-Tone Body Style,C class - No Carton,72.0,599.99,1.0
BS17840,HL14CESWG,HONEYWELL,Seasonal,14000 BTU Portable A/C Two-Tone Body Style,C Class- Missing Accessories,72.0,599.99,1.0
BS17840,MM14CCSBB,HONEYWELL,Seasonal,14000 BTU Portable A/C,c class - No Carton Used,94.0,599.99,1.0
BS17840,MM14CCSBB,HONEYWELL,Seasonal,14000 BTU Portable A/C,C CLASS - Used Missing/Hardware,94.0,599.99,1.0
BS17840,MM14CCSBB,HONEYWELL,Seasonal,14000 BTU Portable A/C,C-Class - No Carton,94.0,599.99,1.0
BS17840,LW1515ER,LG,Seasonal,15000 BTU Window Air Conditioner,C class -Damage Right Side Damage Rear                          Used  Packing in Poor Condition  Missing/Hardware,122.0,569.99,1.0
BS17840,MN12CES,HONEYWELL,Seasonal,12000 BTU Portable A/C,C class - Missing/Hardware,81.0,549.99,1.0
BS17840,LP1414GXR,LG,Seasonal,14000 BTU Portable Air Conditioner,C class - Missing/Remote,84.0,549.99,1.0
BS17840,MN12CES,HONEYWELL,Seasonal,12000 BTU Portable A/C,C class - No Carton,81.0,549.99,1.0
BS17840,MN12CESBB,HONEYWELL,Seasonal,12000 BTU Portable A/C,C-class - Damage Bottom Packing in Poor Condition               Missing/Hardware,81.0,549.99,1.0
BS17840,HL12CESWB,HONEYWELL,Seasonal,12000 BTU Portable A/C Two-Tone Body Style,C-Class - Missing Access,72.0,549.99,1.0
BS17840,HL12CESWB,HONEYWELL,Seasonal,12000 BTU Portable A/C Two-Tone Body Style,C class - No Carton,72.0,549.99,1.0
BS17840,MN12CESBB,HONEYWELL,Seasonal,12000 BTU Portable A/C,c-class used,81.0,549.99,1.0
BS17840,LP1414GXR,LG,Seasonal,14000 BTU Portable Air Conditioner,c-class used dirty,84.0,549.99,1.0
BS17840,LP1215GXR,LG,Seasonal,12000 BTU Portable Air Conditioner,C Class- No Carton,73.0,479.99,1.0
BS17840,LP1215GXR,LG,Seasonal,12000 BTU Portable Air Conditioner,C class - No Carton,73.0,479.99,1.0
BS17840,MN10CESWW,HONEYWELL,Seasonal,10000 BTU Portable A/C,C CLASS - Used Missing/Hardware,52.0,449.99,1.0
BS17840,HL10CESWG,HONEYWELL,Seasonal,10000 BTU Portable A/C Two-Tone Body Style,C-CLASS USED POOR PACKING,71.0,449.99,1.0
BS17840,HL10CESWG,HONEYWELL,Seasonal,10000 BTU Portable A/C Two-Tone Body Style,C class Used Missing/Hardware,71.0,449.99,1.0
BS17840,MP10CESWW,HONEYWELL,Seasonal,10000 BTU Portable A/C - Front Grille Body Design,C class - Poor packing no remote,62.0,449.99,1.0
BS17840,MP10CESWW,HONEYWELL,Seasonal,10000 BTU Portable A/C - Front Grille Body Design,C class - No Carton,62.0,449.99,1.0
BS17840,MP10CESWW,HONEYWELL,Seasonal,10000 BTU Portable A/C - Front Grille Body Design,C Class- No Carton,62.0,449.99,1.0
BS17840,MN10CES,HONEYWELL,Seasonal,10000 BTU Portable A/C,c-class used missing remote,75.0,449.99,1.0
BS17840,HL10CESWW,HONEYWELL,Seasonal,10000 BTU Portable A/C Two-Tone Body Style,C-Class - Used Packing in Poor Condition Missin   g Access,71.0,449.99,1.0
BS17840,HL10CESWB,HONEYWELL,Seasonal,10000 BTU Portable A/C Two-Tone Body Style,Carton Damage - Unit OK,71.0,449.99,1.0
BS17840,HL10CESWB,HONEYWELL,Seasonal,10000 BTU Portable A/C Two-Tone Body Style,C-Class - No Carton,71.0,449.99,1.0
BS17840,HL10CESWB,HONEYWELL,Seasonal,10000 BTU Portable A/C Two-Tone Body Style,B CLASS- POOR PACKING,71.0,449.99,1.0
BS17840,HL10CESWW,HONEYWELL,Seasonal,10000 BTU Portable A/C Two-Tone Body Style,C-Class - Missing Access,71.0,449.99,1.0
BS17840,HL10CESWB,HONEYWELL,Seasonal,10000 BTU Portable A/C Two-Tone Body Style,C CLASS - Used Missing/Hardware,71.0,449.99,1.0
BS17840,HL10CESWB,HONEYWELL,Seasonal,10000 BTU Portable A/C Two-Tone Body Style,C-Class - Used Water Damage,71.0,449.99,1.0
BS17840,HL10CESWK,HONEYWELL,Seasonal,10000 BTU Portable A/C Two-Tone Body Style,C-class - Damage Right Side,71.0,449.99,1.0
BS17840,HL10CESWK,HONEYWELL,Seasonal,10000 BTU Portable A/C Two-Tone Body Style,C-class - Damage Top,71.0,449.99,1.0
BS17840,MN10CESWW,HONEYWELL,Seasonal,10000 BTU Portable A/C,C class Used Packing in Poor Condition,52.0,449.99,1.0
BS17840,MN10CESWW,HONEYWELL,Seasonal,10000 BTU Portable A/C,c class - No Carton Used,52.0,449.99,1.0
BS17840,MN10CESWW,HONEYWELL,Seasonal,10000 BTU Portable A/C,C class - Used Packing in Poor Condition,52.0,449.99,1.0
BS17840,HL10CESWG,HONEYWELL,Seasonal,10000 BTU Portable A/C Two-Tone Body Style,C class - Missing/Hardware,71.0,449.99,1.0
BS17840,HL10CESWK,HONEYWELL,Seasonal,10000 BTU Portable A/C Two-Tone Body Style,C-class - Damage Bottom Packing in Poor Condition,71.0,449.99,1.0
BS17840,MN10CESWW,HONEYWELL,Seasonal,10000 BTU Portable A/C,C Class- Missing Accessories Poor Packing,52.0,449.99,1.0
BS17840,HL10CESWW,HONEYWELL,Seasonal,10000 BTU Portable A/C Two-Tone Body Style,C class - Missing/Hardware,71.0,449.99,1.0
BS17840,HL10CESWK,HONEYWELL,Seasonal,10000 BTU Portable A/C Two-Tone Body Style,B-class - Damage Bottom Packing in Poor Condition,71.0,449.99,1.0
BS17840,MN10CES,HONEYWELL,Seasonal,10000 BTU Portable A/C,C Class- Broken Accessories,75.0,449.99,1.0
BS17840,HL10CESWK,HONEYWELL,Seasonal,10000 BTU Portable A/C Two-Tone Body Style,C Class- Missing Accessories,71.0,449.99,1.0
BS17840,HL10CESWK,HONEYWELL,Seasonal,10000 BTU Portable A/C Two-Tone Body Style,C Class- Broken Accessories,71.0,449.99,1.0
BS17840,HL10CESWK,HONEYWELL,Seasonal,10000 BTU Portable A/C Two-Tone Body Style,C class - No Carton,71.0,449.99,1.0
BS17840,HL10CESWK,HONEYWELL,Seasonal,10000 BTU Portable A/C Two-Tone Body Style,C CLASS - Used Missing/Hardware,71.0,449.99,1.0
BS17840,HL10CESWK,HONEYWELL,Seasonal,10000 BTU Portable A/C Two-Tone Body Style,C class - Broken peices,71.0,449.99,1.0
BS17840,HL10CESWK,HONEYWELL,Seasonal,10000 BTU Portable A/C Two-Tone Body Style,C-class - Damage Top Used Packing in Poor Condit  ion,71.0,449.99,1.0
BS17840,HL10CESWK,HONEYWELL,Seasonal,10000 BTU Portable A/C Two-Tone Body Style,C-Class - Used damged acces,71.0,449.99,1.0
BS17840,HL10CESWW,HONEYWELL,Seasonal,10000 BTU Portable A/C Two-Tone Body Style,C Class- No Carton,71.0,449.99,1.0
BS17840,HL10CESWW,HONEYWELL,Seasonal,10000 BTU Portable A/C Two-Tone Body Style,B class - Used Packing in Poor Condition,71.0,449.99,1.0
BS17840,MN10CESWW,HONEYWELL,Seasonal,10000 BTU Portable A/C,B Class- Used Poor Packing,52.0,449.99,1.0
BS17840,LW1215ER,LG,Seasonal,12000 BTU Electronic AC with Remote,C class - No Carton,92.0,399.99,1.0
BS17840,LW1216ER,LG,Seasonal,12000 BTU Electronic AC with Remote - 2016 EStar,C class - No Carton,90.0,399.99,1.0
BS17840,MF08CESWW,HONEYWELL,Seasonal,8000 BTU Portable A/C,C Class- Missing Remote Poor Packing,63.0,399.99,1.0
BS17840,MF08CESWW,HONEYWELL,Seasonal,8000 BTU Portable A/C,C-class - Damage Bottom Missing/Hardware,63.0,399.99,1.0
BS17840,MF08CESBB,HONEYWELL,Seasonal,8000 BTU Portable A/C,C-Class - No Carton,63.0,399.99,1.0
BS17840,MF08CESBB,HONEYWELL,Seasonal,8000 BTU Portable A/C,C class - No Carton,63.0,399.99,1.0
BS17840,MP08CESWW,HONEYWELL,Seasonal,8000 BTU Portable A/C - Front Grille Body Design,B-class - Damage Bottom Used,60.0,399.99,1.0
BS17840,MP08CESWW,HONEYWELL,Seasonal,8000 BTU Portable A/C - Front Grille Body Design,Carton Damage - Unit OK,60.0,399.99,1.0
BS17840,LP1015WSR,LG,Seasonal,10000 BTU Portable Air Conditioner,C class - No Carton,69.0,379.99,1.0
BS17840,LP1015WSR,LG,Seasonal,10000 BTU Portable Air Conditioner,C-class - Damage Right Side,69.0,379.99,1.0
BS17840,LP0814WNR,LG,Seasonal,8000 BTU Portable Air Conditioner,C Class Poor Packing Missing Accessories,59.0,349.99,1.0
BS17840,LW1015ER,LG,Seasonal,10000 BTU Electronic AC with Remote,C Class No Accessories Not in Original Carton,73.0,349.99,1.0
BS17840,LP0814WNR,LG,Seasonal,8000 BTU Portable Air Conditioner,C-class - Damage Bottom Not in Original Carton M  issing/Manual Missing/Remote,59.0,349.99,1.0
BS17840,LP0814WNR,LG,Seasonal,8000 BTU Portable Air Conditioner,C Class- Used Missing Remote,59.0,349.99,1.0
BS17840,LP0814WNR,LG,Seasonal,8000 BTU Portable Air Conditioner,C Class Poor Packing Missing Accessories,59.0,349.99,1.0
BS17840,UD701KOG1,LG,Seasonal,70 Pint Dehumidifier,c-class used,52.0,329.99,1.0
,,,,,,11124.0,75319.50000000001,143.0